Parameter Settings
pop_size,200
generations,2000
crossover_rate,0.9
mutation_rate,0.02
elitism_count,1
use_two_opt,True
gen_two_opt,500
two_opt_strategy,normal
init_strategy,random
selection_strategy,tournament
crossover_strategy,mixed
early_stop,500

Run,Best_Distance,Best_Path
1,10117.024369047092,"[135, 130, 128, 134, 142, 132, 127, 123, 122, 119, 120, 117, 116, 115, 114, 111, 109, 107, 106, 104, 105, 102, 101, 90, 92, 95, 94, 91, 96, 99, 83, 82, 87, 73, 78, 80, 76, 69, 56, 63, 67, 65, 72, 66, 60, 50, 46, 38, 36, 26, 33, 39, 42, 57, 55, 52, 51, 53, 54, 48, 49, 41, 43, 45, 47, 40, 37, 34, 30, 31, 29, 18, 14, 11, 9, 8, 4, 2, 6, 3, 1, 0, 5, 7, 15, 12, 10, 13, 22, 24, 16, 25, 23, 20, 17, 27, 21, 28, 44, 32, 59, 68, 71, 74, 77, 86, 75, 70, 79, 81, 61, 58, 35, 62, 19, 64, 84, 85, 97, 89, 88, 93, 98, 100, 103, 110, 113, 112, 108, 121, 118, 125, 124, 126, 129, 131, 133, 136, 139, 144, 155, 175, 181, 193, 186, 189, 191, 190, 188, 187, 192, 184, 179, 177, 169, 170, 161, 165, 159, 147, 154, 150, 157, 158, 164, 166, 167, 176, 180, 183, 174, 172, 173, 182, 185, 178, 171, 168, 163, 162, 160, 148, 145, 141, 137, 138, 143, 149, 153, 156, 152, 151, 146, 140]"

Summary
Best_Distance,10117.024369047092
Worst_Distance,10117.024369047092
Average_Distance,10117.024369047092
Best_Path,"[135, 130, 128, 134, 142, 132, 127, 123, 122, 119, 120, 117, 116, 115, 114, 111, 109, 107, 106, 104, 105, 102, 101, 90, 92, 95, 94, 91, 96, 99, 83, 82, 87, 73, 78, 80, 76, 69, 56, 63, 67, 65, 72, 66, 60, 50, 46, 38, 36, 26, 33, 39, 42, 57, 55, 52, 51, 53, 54, 48, 49, 41, 43, 45, 47, 40, 37, 34, 30, 31, 29, 18, 14, 11, 9, 8, 4, 2, 6, 3, 1, 0, 5, 7, 15, 12, 10, 13, 22, 24, 16, 25, 23, 20, 17, 27, 21, 28, 44, 32, 59, 68, 71, 74, 77, 86, 75, 70, 79, 81, 61, 58, 35, 62, 19, 64, 84, 85, 97, 89, 88, 93, 98, 100, 103, 110, 113, 112, 108, 121, 118, 125, 124, 126, 129, 131, 133, 136, 139, 144, 155, 175, 181, 193, 186, 189, 191, 190, 188, 187, 192, 184, 179, 177, 169, 170, 161, 165, 159, 147, 154, 150, 157, 158, 164, 166, 167, 176, 180, 183, 174, 172, 173, 182, 185, 178, 171, 168, 163, 162, 160, 148, 145, 141, 137, 138, 143, 149, 153, 156, 152, 151, 146, 140]"
