Parameter Settings
pop_size,300
generations,2000
crossover_rate,0.9
mutation_rate,0.02
elitism_count,3
use_two_opt,True
gen_two_opt,500
two_opt_strategy,normal
init_strategy,mixed
selection_strategy,tournament
crossover_strategy,miexd
early_stop,1000

Run,Best_Distance,Best_Path
1,6659.431532931465,"[23, 27, 26, 30, 35, 33, 32, 37, 36, 34, 31, 29, 28, 20, 13, 9, 0, 1, 3, 2, 4, 5, 6, 7, 8, 11, 10, 18, 17, 16, 15, 12, 14, 19, 22, 25, 24, 21]"

Summary
Best_Distance,6659.431532931465
Worst_Distance,6659.431532931465
Average_Distance,6659.431532931465
Best_Path,"[23, 27, 26, 30, 35, 33, 32, 37, 36, 34, 31, 29, 28, 20, 13, 9, 0, 1, 3, 2, 4, 5, 6, 7, 8, 11, 10, 18, 17, 16, 15, 12, 14, 19, 22, 25, 24, 21]"
